ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,defeated_mp,former_mp
E14001395,North Herefordshire,West Midlands,England,County,05-07-2024 05:21,Green gain from Con,Con,Conservative,Sir,Bill,Wiggin,David,1428,Male,Yes,Yes
E14001396,North Norfolk,East of England,England,County,05-07-2024 03:29,LD gain from Con,Con,Conservative,,Duncan,Baker,Charles ,4784,Male,Yes,Yes
E14001397,North Northumberland,North East,England,County,05-07-2024 04:03,Lab gain from Con,Con,Conservative,,Anne-Marie,Trevelyan,,4531,Female,Yes,Yes
E14001398,North Shropshire,West Midlands,England,County,05-07-2024 04:12,LD gain from Con,Con,Conservative,,Simon,Baynes,Robert Maurice,4800,Male,Yes,Yes
E14001399,North Somerset,South West,England,County,05-07-2024 05:44,Lab gain from Con,Con,Conservative,Sir,Liam,Fox,,223,Male,Yes,Yes
E14001400,North Warwickshire and Bedworth,West Midlands,England,County,05-07-2024 02:24,Lab gain from Con,Con,Conservative,,Craig,Tracey,Paul,4509,Male,Yes,Yes
E14001401,North West Cambridgeshire,East of England,England,County,05-07-2024 05:11,Lab gain from Con,Con,Conservative,,Shailesh,Vara,Lakhman,1496,Male,Yes,Yes
E14001404,North West Leicestershire,East Midlands,England,County,05-07-2024 03:48,Lab gain from Con,Ind,Independent,,Andrew,Bridgen,James,4133,Male,Yes,Yes
E14001407,Northampton South,East Midlands,England,Borough,05-07-2024 05:22,Lab gain from Con,Con,Conservative,,Andrew,Lewer,Iain,4659,Male,Yes,Yes
E14001413,Nuneaton,West Midlands,England,County,05-07-2024 01:09,Lab gain from Con,Con,Conservative,,Marcus,Jones,Charles,4024,Male,Yes,Yes
E14001418,Ossett and Denby Dale,Yorkshire and The Humber,England,County,05-07-2024 05:27,Lab gain from Con,Con,Conservative,,Mark,Eastwood,Simon,4807,Male,Yes,Yes
S14000101,Paisley and Renfrewshire North,Scotland,Scotland,Borough,05-07-2024 03:00,Lab gain from SNP,SNP,Scottish National Party,,Gavin,Newlands,Andrew Stuart,4420,Male,Yes,Yes
E14001422,Pendle and Clitheroe,North West,England,County,05-07-2024 04:37,Lab gain from Con,Con,Conservative,,Andrew,Stephenson,George,4044,Male,Yes,Yes
E14001423,Penistone and Stocksbridge,Yorkshire and The Humber,England,County,05-07-2024 03:12,Lab gain from Con,Con,Conservative,,Miriam,Cates,Joy,4865,Female,Yes,Yes
E14001424,Penrith and Solway,North West,England,County,05-07-2024 05:32,Lab gain from Con,Con,Conservative,,Mark,Jenkinson,Ian,4752,Male,Yes,Yes
E14001425,Peterborough,East of England,England,County,05-07-2024 04:52,Lab gain from Con,Con,Conservative,,Paul,Bristow,,4792,Male,Yes,Yes
E14001426,Plymouth Moor View,South West,England,Borough,05-07-2024 05:22,Lab gain from Con,Con,Conservative,,Johnny,Mercer,Luther,4485,Male,Yes,Yes
E14001429,Poole,South West,England,Borough,05-07-2024 10:38,Lab gain from Con,Con,Conservative,Sir,Robert,Syms,Andrew Raymond,245,Male,Yes,Yes
E14001431,Portsmouth North,South East,England,Borough,05-07-2024 04:49,Lab gain from Con,Con,Conservative,,Penny,Mordaunt,,4017,Female,Yes,Yes
E14001440,Redcar,North East,England,Borough,05-07-2024 01:32,Lab gain from Con,Con,Conservative,,Jacob,Young,,4825,Male,Yes,Yes
E14001441,Redditch,West Midlands,England,County,05-07-2024 02:50,Lab gain from Con,Con,Conservative,,Rachel,Maclean,Helen,4668,Female,Yes,Yes
E14001443,Ribble Valley,North West,England,County,05-07-2024 04:09,Lab gain from Con,Con,Conservative,,Nigel,Evans,Martin,474,Male,Yes,Yes
E14001446,Rochdale,North West,England,County,05-07-2024 02:38,Lab hold,WPB,Workers Party of Britain,,George,Galloway,,609,Male,Yes,Yes
E14001447,Rochester and Strood,South East,England,County,05-07-2024 04:53,Lab gain from Con,Con,Conservative,,Kelly,Tolhurst,Jane,4487,Female,Yes,Yes
E14001450,Rossendale and Darwen,North West,England,County,05-07-2024 03:30,Lab gain from Con,Con,Conservative,Sir,Jake,Berry,,4060,Male,Yes,Yes
E14001451,Rother Valley,Yorkshire and The Humber,England,County,05-07-2024 02:47,Lab gain from Con,Con,Conservative,,Alexander,Stafford,,4866,Male,Yes,Yes
E14001457,Rushcliffe,East Midlands,England,County,05-07-2024 02:32,Lab gain from Con,Con,Conservative,,Ruth,Edwards,Rosamond,4808,Female,Yes,Yes
E14001462,Scunthorpe,Yorkshire and The Humber,England,County,05-07-2024 02:15,Lab gain from Con,Con,Conservative,,Holly,Mumby-Croft,,4867,Female,Yes,Yes
E14001471,Sherwood Forest,East Midlands,England,County,05-07-2024 04:10,Lab gain from Con,Con,Conservative,Sir,Mark,Spencer,Steven,4055,Male,Yes,Yes
E14001472,Shipley,Yorkshire and The Humber,England,County,05-07-2024 05:05,Lab gain from Con,Con,Conservative,Sir,Philip,Davies,,1565,Male,Yes,Yes
E14001473,Shrewsbury,West Midlands,England,County,05-07-2024 04:15,Lab gain from Con,Con,Conservative,,Daniel,Kawczynski,Robert,1566,Male,Yes,Yes
E14001479,Solihull West and Shirley,West Midlands,England,Borough,05-07-2024 04:16,Con hold,Ind,Independent,,Julian,Knight,Carlton,4410,Male,Yes,Yes
N05000014,South Antrim,Northern Ireland,Northern Ireland,County,05-07-2024 05:25,UUP gain from DUP,DUP,Democratic Unionist Party,,Paul,Girvan,,4633,Male,Yes,Yes
E14001480,South Basildon and East Thurrock,East of England,England,County,05-07-2024 17:42,RUK gain from Con,Con,Conservative,,Stephen,Metcalfe,James,4092,Male,Yes,Yes
E14001482,South Cotswolds,South West,England,County,05-07-2024 06:44,LD gain from Con,Con,Conservative,,James,Gray,Whiteside,261,Male,Yes,Yes
E14001483,South Derbyshire,East Midlands,England,County,05-07-2024 03:21,Lab gain from Con,Con,Conservative,,Heather,Wheeler,Kay,4053,Female,Yes,Yes
E14001484,South Devon,South West,England,County,05-07-2024 05:16,LD gain from Con,Con,Conservative,,Anthony,Mangnall,James Holland,4762,Male,Yes,Yes
E14001485,South Dorset,South West,England,County,05-07-2024 05:15,Lab gain from Con,Con,Conservative,,Richard,Drax,Grosvenor Plunkett-Ernle-Erle,4132,Male,Yes,Yes
E14001486,South East Cornwall,South West,England,County,05-07-2024 06:04,Lab gain from Con,Con,Conservative,Mrs,Sheryll,Murray,,4100,Female,Yes,Yes
E14001491,South Ribble,North West,England,County,05-07-2024 02:33,Lab gain from Con,Con,Conservative,,Katherine,Fletcher,,4834,Female,Yes,Yes
E14001497,South West Norfolk,East of England,England,County,05-07-2024 06:10,Lab gain from Con,Con,Conservative,,Liz,Truss,,4097,Female,Yes,Yes
E14001502,Southend West and Leigh,East of England,England,Borough,05-07-2024 04:51,Lab gain from Con,Con,Conservative,,Anna,Firth,,4936,Female,Yes,Yes
E14001504,Southport,North West,England,County,05-07-2024 02:36,Lab gain from Con,Con,Conservative,,Damien,Moore,,4669,Male,Yes,Yes
E14001508,St Austell and Newquay,South West,England,County,05-07-2024 05:03,Lab gain from Con,Con,Conservative,,Steve,Double,Daniel,4452,Male,Yes,Yes
E14001511,St Ives,South West,England,County,05-07-2024 05:07,LD gain from Con,Con,Conservative,,Derek,Thomas,Gordon,4532,Male,Yes,Yes
E14001512,St Neots and Mid Cambridgeshire,East of England,England,County,05-07-2024 04:59,LD gain from Con,Con,Conservative,,Anthony,Browne,Howe,4801,Male,Yes,Yes
E14001513,Stafford,West Midlands,England,County,05-07-2024 05:20,Lab gain from Con,Con,Conservative,,Theo,Clarke,,4819,Female,Yes,Yes
S14000105,Stirling and Strathallan,Scotland,Scotland,County,05-07-2024 03:49,Lab gain from SNP,SNP,Scottish National Party,,Alyn,Smith,,4738,Male,Yes,Yes
E14001521,Stoke-on-Trent North,West Midlands,England,Borough,05-07-2024 05:35,Lab gain from Con,Con,Conservative,,Jonathan,Gullis,Edward,4814,Male,Yes,Yes
E14001522,Stoke-on-Trent South,West Midlands,England,County,05-07-2024 05:34,Lab gain from Con,Con,Conservative,,Jack,Brereton,,4643,Male,Yes,Yes
E14001524,Stourbridge,West Midlands,England,Borough,05-07-2024 05:43,Lab gain from Con,Con,Conservative,,Suzanne,Webb,,4802,Female,Yes,Yes
E14001526,Stratford-on-Avon,West Midlands,England,County,05-07-2024 05:43,LD gain from Con,Con,Conservative,,Chris,Clarkson,,4835,Male,Yes,Yes
E14001529,Stroud,South West,England,County,05-07-2024 00:53,Lab gain from Con,Con,Conservative,,Siobhan,Baillie,Kathleen,4847,Female,Yes,Yes
E14001530,Suffolk Coastal,East of England,England,County,05-07-2024 04:57,Lab gain from Con,Con,Conservative,Dr,Thérèse,Coffey,Anne,4098,Female,Yes,Yes
E14001536,Swindon North,South West,England,County,05-07-2024 01:16,Lab gain from Con,Con,Conservative,,Justin,Tomlinson,Paul,4105,Male,Yes,Yes
E14001537,Swindon South,South West,England,Borough,04-07-2024 23:49,Lab gain from Con,Con,Conservative,Sir,Robert,Buckland,James,4106,Male,Yes,Yes
E14001538,Tamworth,West Midlands,England,County,05-07-2024 05:32,Lab gain from Con,Con,Conservative,,Eddie,Hughes,Francis,4635,Male,Yes,Yes
E14001540,Taunton and Wellington,South West,England,County,05-07-2024 04:18,LD gain from Con,Con,Conservative,,Rebecca,Pow,Faye,4522,Female,Yes,Yes
E14001542,Tewkesbury,South West,England,County,05-07-2024 06:31,LD gain from Con,Con,Conservative,Mr,Laurence,Robertson,Anthony,253,Male,Yes,Yes
E14001545,Thornbury and Yate,South West,England,County,05-07-2024 03:29,LD gain from Con,Con,Conservative,,Luke,Hall,Anthony,4450,Male,Yes,Yes
E14001546,Thurrock,East of England,England,Borough,05-07-2024 02:10,Lab gain from Con,Con,Conservative,Dame,Jacqueline,Doyle-Price,,4065,Female,Yes,Yes
E14001547,Tipton and Wednesbury,West Midlands,England,Borough,05-07-2024 05:37,Lab gain from Con,Con,Conservative,,Shaun,Bailey,Stephen,4757,Male,Yes,Yes
E14001548,Tiverton and Minehead,South West,England,County,05-07-2024 04:20,LD gain from Con,Con,Conservative,Mr,Ian,Liddell-Grainger,Richard Peregrine,1396,Male,Yes,Yes
E14001551,Torbay,South West,England,Borough,05-07-2024 02:15,LD gain from Con,Con,Conservative,,Kevin,Foster,John,4451,Male,Yes,Yes
E14001554,Truro and Falmouth,South West,England,County,05-07-2024 04:48,Lab gain from Con,Con,Conservative,,Cherilyn,Mackrory,,4758,Female,Yes,Yes
E14001558,Uxbridge and South Ruislip,London,England,Borough,05-07-2024 06:01,Lab gain from Con,Con,Conservative,,Steve,Tuckwell,,4994,Male,Yes,Yes
